accession	variant
MW974482.1	B.1.427_B.1.429
MW974485.1	B.1.427_B.1.429
MW974543.1	B.1.427_B.1.429
MW974600.1	B.1.1.7
MW974601.1	B.1.1.7
MW974602.1	B.1.1.7
MW974604.1	B.1.1.7
MW974897.1	B.1.525
MW974905.1	B.1.526
MW974913.1	B.1.526
MW974915.1	B.1.526
MW974925.1	B.1.526
MW974928.1	B.1.526
MW974941.1	B.1.526
MW974944.1	B.1.526
MW974945.1	B.1.526
MW974952.1	B.1.526
MW974972.1	B.1.526
MW974973.1	B.1.526
MW974977.1	B.1.526
MW974979.1	B.1.526
MW974982.1	B.1.526
MW974988.1	B.1.526
MW974992.1	B.1.526
MW974994.1	B.1.526
MW974995.1	B.1.526
MW974996.1	B.1.526
MW975011.1	B.1.526
MW975012.1	B.1.526
MW975018.1	B.1.526
MW975021.1	B.1.526
MW975022.1	B.1.526
MW975027.1	B.1.526
MW975032.1	B.1.526
MW975044.1	B.1.526
MW975046.1	B.1.526
MW975049.1	B.1.526
MW975060.1	B.1.526
MW975064.1	B.1.525
MW975069.1	B.1.526
MW975075.1	B.1.526
MW975077.1	B.1.526
MW975088.1	B.1.526
MW975109.1	B.1.525
MW975111.1	B.1.526
MW975112.1	B.1.526
MW975115.1	B.1.526
MW975120.1	B.1.526
MW975121.1	B.1.526
MW975123.1	B.1.526
MW975124.1	B.1.526
MW975125.1	B.1.526
MW975127.1	B.1.526
MW975130.1	B.1.526
MW975134.1	B.1.526
MW975135.1	B.1.526
MW975142.1	B.1.526
MW975144.1	B.1.526
MW975149.1	B.1.526
MW975150.1	B.1.526
MW975154.1	B.1.526
MW975156.1	B.1.526
MW975160.1	B.1.526
MW975161.1	B.1.526
MW975163.1	B.1.526
MW975174.1	B.1.526
MW975175.1	B.1.526
MW975179.1	B.1.526
MW975180.1	B.1.526
MW975196.1	B.1.526
MW975204.1	B.1.526
MW975217.1	B.1.526
MW975218.1	B.1.525
MW975222.1	B.1.526
MW975223.1	B.1.526
MW975224.1	B.1.526
MW975226.1	B.1.526
MW975227.1	B.1.526
MW975229.1	B.1.526
MW975230.1	B.1.526
MW975231.1	B.1.526
MW975234.1	B.1.526
MW975235.1	B.1.526
MW975239.1	B.1.526
MW975244.1	B.1.526
MW975247.1	B.1.526
MW975251.1	B.1.526
MW975253.1	B.1.526
MW975255.1	B.1.526
MW975259.1	B.1.526
MW975264.1	B.1.526
MW975265.1	B.1.526
MW975273.1	B.1.526
MW975281.1	B.1.526
MW975282.1	B.1.526
MW975286.1	B.1.526
MW975287.1	B.1.526
MW975288.1	B.1.526
MW975289.1	B.1.526
MW975290.1	B.1.526
MW975292.1	B.1.526
MW975293.1	B.1.526
MW975294.1	B.1.526
MW975295.1	B.1.526
MW975296.1	B.1.526
MW975303.1	B.1.526
MW975304.1	B.1.526
MW975305.1	B.1.526
MW975306.1	B.1.526
MW975307.1	B.1.526
MW975312.1	B.1.526
MW975317.1	B.1.526
MW975319.1	B.1.526
MW975320.1	B.1.526
MW975329.1	B.1.526
MW975334.1	B.1.526
MW975335.1	B.1.526
MW975337.1	B.1.526
MW975342.1	B.1.526
MW975344.1	B.1.526
MW975349.1	B.1.526
MW975351.1	B.1.526
MW975354.1	B.1.526
MW975355.1	B.1.526
MW975356.1	B.1.526
MW975358.1	B.1.526
MW975359.1	B.1.526
MW975371.1	B.1.525
MW975376.1	B.1.526
MW975377.1	B.1.526
MW975390.1	B.1.526
MW975391.1	B.1.526
MW975392.1	B.1.526
MW975393.1	B.1.526
MW975395.1	B.1.526
MW975396.1	B.1.526
MW975397.1	B.1.526
MW975399.1	B.1.526
MW975400.1	B.1.526
MW975401.1	B.1.526
MW975404.1	B.1.526
MW975406.1	B.1.526
MW975407.1	B.1.526
MW975408.1	B.1.526
MW975409.1	B.1.526
MW975411.1	B.1.526
MW975412.1	B.1.526
MW975413.1	B.1.526
MW975414.1	B.1.526
MW975415.1	B.1.526
MW975418.1	B.1.526
MW975419.1	B.1.526
MW975424.1	B.1.526
MW975425.1	B.1.526
MW975426.1	B.1.525
MW975427.1	B.1.526
MW975430.1	B.1.526
MW975432.1	B.1.526
MW975434.1	B.1.526
MW975435.1	B.1.526
MW975437.1	B.1.526
MW975438.1	B.1.526
MW975444.1	B.1.526
MW975445.1	B.1.526
MW975447.1	B.1.525
MW975450.1	B.1.525
MW975451.1	B.1.526
MW975457.1	B.1.526
MW975461.1	B.1.526
MW975464.1	B.1.526
MW975465.1	B.1.526
MW975470.1	B.1.526
MW975471.1	B.1.526
MW975473.1	B.1.526
MW975475.1	B.1.526
MW975477.1	B.1.526
MW975479.1	B.1.526
MW975481.1	B.1.526
MW975482.1	B.1.526
MW975485.1	B.1.526
MW975486.1	B.1.526
MW975488.1	B.1.526
MW975494.1	B.1.526
MW975497.1	B.1.526
MW975502.1	B.1.526
MW975504.1	B.1.526
MW975506.1	B.1.526
MW975507.1	B.1.526
MW975508.1	B.1.526
MW975512.1	B.1.526
MW975513.1	B.1.526
MW975515.1	B.1.526
MW975522.1	B.1.526
MW975523.1	B.1.526
MW975524.1	B.1.526
MW975525.1	B.1.526
MW975526.1	B.1.526
MW975527.1	B.1.526
MW975528.1	B.1.526
MW975533.1	B.1.526
MW975535.1	B.1.526
MW975538.1	B.1.526
MW975540.1	B.1.526
MW975543.1	B.1.526
MW975544.1	B.1.526
MW975550.1	B.1.526
MW975551.1	B.1.526
MW975559.1	B.1.526
MW975560.1	B.1.526
MW975561.1	B.1.526
MW975562.1	B.1.526
MW975567.1	B.1.526
MW975572.1	B.1.526
MW975573.1	B.1.526
MW975574.1	B.1.526
MW975575.1	B.1.526
MW975577.1	B.1.526
MW975578.1	B.1.526
MW975583.1	B.1.526
MW975585.1	B.1.526
MW975592.1	B.1.526
MW975593.1	B.1.526
MW975595.1	B.1.526
MW975599.1	B.1.526
MW975609.1	B.1.526
MW975615.1	B.1.526
MW975618.1	B.1.526
MW975621.1	B.1.526
MW975624.1	B.1.526
MW975626.1	B.1.526
MW975627.1	B.1.526
MW975631.1	B.1.526
MW975632.1	B.1.526
MW975637.1	B.1.526
MW975638.1	B.1.525
MW975640.1	B.1.526
MW975643.1	B.1.526
MW975644.1	B.1.526
MW975646.1	B.1.526
MW975648.1	B.1.526
MW975653.1	B.1.526
MW975654.1	B.1.526
MW975658.1	B.1.526
MW975660.1	B.1.526
MW975661.1	B.1.526
MW975662.1	B.1.526
MW975664.1	B.1.526
MW975667.1	B.1.526
MW975669.1	B.1.526
MW975670.1	B.1.525
MW975671.1	B.1.526
MW975672.1	B.1.526
MW975674.1	B.1.526
MW975676.1	B.1.526
MW975678.1	B.1.526
MW975683.1	B.1.526
MW975684.1	B.1.526
MW975686.1	B.1.526
MW975688.1	B.1.526
MW975692.1	B.1.525
MW975695.1	B.1.526
MW975696.1	B.1.526
MW975699.1	B.1.526
MW975701.1	B.1.526
MW975703.1	B.1.526
MW975704.1	B.1.526
MW975706.1	B.1.526
MW975707.1	B.1.525
MW975708.1	B.1.526
MW975711.1	B.1.526
MW975713.1	B.1.526
MW975714.1	B.1.526
MW975720.1	B.1.526
MW975721.1	B.1.526
MW975722.1	B.1.525
MW975729.1	B.1.526
MW975730.1	B.1.526
MW975731.1	B.1.526
MW975733.1	B.1.526
MW975736.1	B.1.526
MW975738.1	B.1.526
MW975748.1	B.1.526
MW975749.1	B.1.526
MW975750.1	B.1.526
MW975756.1	B.1.526
MW975759.1	B.1.526
MW975760.1	B.1.526
MW975761.1	B.1.526
MW975762.1	B.1.526
MW975765.1	B.1.526
MW975766.1	B.1.526
MW975773.1	B.1.526
MW975776.1	B.1.526
MW975777.1	B.1.526
MW975778.1	B.1.526
MW975780.1	B.1.526
MW975781.1	B.1.526
MW975782.1	B.1.526
MW975783.1	B.1.526
MW975784.1	B.1.526
MW975785.1	B.1.526
MW975787.1	B.1.526
MW975792.1	B.1.526
MW975793.1	B.1.526
MW975795.1	B.1.526
MW975799.1	B.1.526
MW975802.1	B.1.526
MW975808.1	B.1.526
MW975809.1	B.1.526
MW975810.1	B.1.526
MW975811.1	B.1.526
MW975813.1	B.1.526
MW975816.1	B.1.526
MW975820.1	B.1.526
MW975822.1	B.1.526
MW975824.1	B.1.526
MW975826.1	B.1.526
MW975827.1	B.1.526
MW975828.1	B.1.526
MW975831.1	B.1.526
MW975832.1	B.1.526
MW975835.1	B.1.525
MW975838.1	B.1.526
MW975840.1	B.1.526
MW975844.1	B.1.526
MW975845.1	B.1.526
MW975846.1	B.1.526
MW975852.1	B.1.526
MW975856.1	B.1.526
MW975859.1	B.1.526
MW975863.1	B.1.526
MW975865.1	B.1.526
MW975867.1	B.1.526
MW975873.1	B.1.526
MW975875.1	B.1.526
MW975876.1	B.1.526
MW975878.1	B.1.526
MW975880.1	B.1.526
MW975884.1	B.1.526
MW975894.1	B.1.526
MW975897.1	B.1.526
MW975898.1	B.1.526
MW975899.1	B.1.526
MW975912.1	B.1.526
MW975917.1	B.1.526
MW975921.1	B.1.526
MW975924.1	B.1.526
MW975928.1	B.1.525
MW975930.1	B.1.526
MW975931.1	B.1.526
MW975933.1	B.1.526
MW975934.1	B.1.526
MW975935.1	B.1.526
MW975938.1	B.1.526
MW975940.1	B.1.526
MW975941.1	B.1.526
MW975942.1	B.1.526
MW975943.1	B.1.526
MW975948.1	B.1.526
MW975958.1	B.1.526
MW975960.1	B.1.526
MW975961.1	B.1.526
MW975966.1	B.1.526
MW975967.1	B.1.526
MW975968.1	B.1.525
MW975971.1	B.1.526
MW975973.1	B.1.526
MW975975.1	B.1.526
MW975976.1	B.1.526
MW975979.1	B.1.526
MW975980.1	B.1.526
MW975981.1	B.1.526
MW975982.1	B.1.526
MW975983.1	B.1.526
MW975988.1	B.1.526
MW975989.1	B.1.526
MW975990.1	B.1.526
MW975991.1	B.1.526
MW975997.1	B.1.526
MW975998.1	B.1.526
MW976000.1	B.1.526
MW976001.1	B.1.526
MW976004.1	B.1.525
MW976005.1	B.1.526
MW976006.1	B.1.526
MW976009.1	B.1.526
MW976012.1	B.1.526
MW976015.1	B.1.526
MW976016.1	B.1.526
MW976017.1	B.1.526
MW976018.1	B.1.526
MW976019.1	B.1.526
MW976023.1	B.1.525
MW976025.1	B.1.526
MW976028.1	B.1.526
MW976031.1	B.1.526
MW976034.1	B.1.526
MW976037.1	B.1.526
MW976038.1	B.1.526
MW976045.1	B.1.526
MW976047.1	B.1.526
MW976048.1	B.1.526
MW976049.1	B.1.526
MW976053.1	B.1.526
MW976057.1	B.1.526
MW976058.1	B.1.526
MW976061.1	B.1.526
MW976062.1	B.1.526
MW976063.1	B.1.526
MW976066.1	B.1.526
MW976067.1	B.1.526
MW976069.1	B.1.526
MW976071.1	B.1.525
MW976079.1	B.1.526
MW976081.1	B.1.526
MW976085.1	B.1.526
MW976090.1	B.1.526
MW976092.1	B.1.526
MW976095.1	B.1.526
MW976096.1	B.1.526
MW976098.1	B.1.526
MW976099.1	B.1.526
MW976101.1	B.1.526
MW976102.1	B.1.526
MW976104.1	B.1.526
MW976107.1	B.1.526
MW976111.1	B.1.526
MW976118.1	B.1.526
MW976119.1	B.1.526
MW976123.1	B.1.526
MW976127.1	B.1.526
MW976132.1	B.1.526
MW976136.1	B.1.526
MW976137.1	B.1.526
MW976139.1	B.1.526
MW976143.1	B.1.526
MW976144.1	B.1.526
MW976149.1	B.1.526
MW976150.1	B.1.526
MW976151.1	B.1.526
MW976152.1	B.1.526
MW976157.1	B.1.526
MW976160.1	B.1.526
MW976161.1	B.1.526
MW976162.1	B.1.526
MW976167.1	B.1.526
MW976168.1	B.1.526
MW976171.1	B.1.526
MW976173.1	B.1.526
MW976175.1	B.1.526
MW976179.1	B.1.526
MW976181.1	B.1.526
MW976183.1	B.1.526
MW976185.1	B.1.526
MW976186.1	B.1.526
MW976187.1	B.1.526
MW976188.1	B.1.526
MW976189.1	B.1.526
MW976191.1	B.1.526
MW976192.1	B.1.526
MW976195.1	B.1.526
MW976198.1	B.1.526
MW976199.1	B.1.526
MW976202.1	B.1.526
MW976204.1	B.1.526
MW976211.1	B.1.526
MW976213.1	B.1.526
MW976214.1	B.1.526
MW976218.1	B.1.526
MW976219.1	B.1.526
MW976220.1	B.1.526
MW976221.1	B.1.526
MW976222.1	B.1.526
MW976223.1	B.1.526
MW976225.1	B.1.526
MW976227.1	B.1.526
MW976228.1	B.1.526
MW976233.1	B.1.526
MW976234.1	B.1.526
MW976235.1	B.1.526
MW976237.1	B.1.526
MW976238.1	B.1.526
MW976242.1	B.1.526
MW976244.1	B.1.526
MW976245.1	B.1.526
MW976249.1	B.1.526
MW976252.1	B.1.526
MW976253.1	B.1.526
MW976255.1	B.1.526
MW976257.1	B.1.526
MW976263.1	B.1.526
MW976266.1	B.1.526
MW976272.1	B.1.526
MW976273.1	B.1.526
MW976276.1	B.1.526
MW976277.1	B.1.526
MW976278.1	B.1.526
MW976280.1	B.1.526
MW976281.1	B.1.526
MW976283.1	B.1.526
MW976285.1	B.1.526
MW976287.1	B.1.526
MW976288.1	B.1.525
MW976289.1	B.1.525
MW976291.1	B.1.526
MW976292.1	B.1.526
MW976294.1	B.1.526
MW976295.1	B.1.526
MW976296.1	B.1.526
MW976297.1	B.1.526
MW976298.1	B.1.526
MW976303.1	B.1.526
MW976307.1	B.1.526
MW976309.1	B.1.526
MW976310.1	B.1.526
MW976312.1	B.1.526
MW976313.1	B.1.526
MW976314.1	B.1.526
MW976315.1	B.1.526
MW976317.1	B.1.526
MW976319.1	B.1.526
MW976322.1	B.1.526
MW976326.1	B.1.526
MW976333.1	B.1.526
MW976334.1	B.1.526
MW976335.1	B.1.526
MW976336.1	B.1.526
MW976339.1	B.1.526
MW976340.1	B.1.526
MW976342.1	B.1.526
MW976343.1	B.1.526
MW976346.1	B.1.526
MW976348.1	B.1.526
MW976349.1	B.1.526
MW976350.1	B.1.526
MW976355.1	B.1.526
MW976356.1	B.1.526
MW976357.1	B.1.526
MW976358.1	B.1.526
MW976359.1	B.1.526
MW976361.1	B.1.526
MW976362.1	B.1.526
MW976363.1	B.1.526
MW976365.1	B.1.526
MW976371.1	B.1.526
MW976372.1	B.1.526
MW976373.1	B.1.526
MW976375.1	B.1.526
MW976376.1	B.1.526
MW976377.1	B.1.526
MW976382.1	B.1.526
MW976384.1	B.1.526
MW976385.1	B.1.526
MW976386.1	B.1.526
MW976388.1	B.1.526
MW976390.1	B.1.526
MW976392.1	B.1.526
MW976394.1	B.1.526
MW976395.1	B.1.526
MW976398.1	B.1.526
MW976400.1	B.1.526
MW976401.1	B.1.526
MW976402.1	B.1.526
MW976403.1	B.1.526
MW976409.1	B.1.526
MW976411.1	B.1.526
MW976412.1	B.1.526
MW976413.1	B.1.526
MW976415.1	B.1.526
MW976416.1	B.1.526
MW976418.1	B.1.526
MW976419.1	B.1.526
MW976420.1	B.1.526
MW976424.1	B.1.526
MW976427.1	B.1.526
MW976428.1	B.1.526
MW976429.1	B.1.526
MW976430.1	B.1.526
MW976431.1	B.1.526
MW976432.1	B.1.526
MW976435.1	B.1.526
MW976437.1	B.1.526
MW976443.1	B.1.526
MW976444.1	B.1.526
MW976445.1	B.1.526
MW976446.1	B.1.526
MW976447.1	B.1.526
MW976448.1	B.1.526
MW976450.1	B.1.526
MW976451.1	B.1.526
MW976457.1	B.1.526
MW976458.1	B.1.526
MW976464.1	B.1.526
MW976466.1	B.1.526
MW976468.1	B.1.526
MW976469.1	B.1.526
MW976470.1	B.1.526
MW976471.1	B.1.526
MW976472.1	B.1.526
MW976473.1	B.1.526
MW976475.1	B.1.525
MW976476.1	B.1.526
MW976477.1	B.1.526
MW976478.1	B.1.526
MW976483.1	B.1.525
MW976485.1	B.1.526
MW976486.1	B.1.525
MW976488.1	B.1.526
MW976489.1	B.1.526
MW976490.1	B.1.526
MW976495.1	B.1.526
MW976499.1	B.1.526
MW976500.1	B.1.526
MW976502.1	B.1.526
MW976506.1	B.1.526
MW976509.1	B.1.526
MW976511.1	B.1.526
MW976512.1	B.1.526
MW976515.1	B.1.526
MW976517.1	B.1.526
MW976518.1	B.1.526
MW976519.1	B.1.526
MW976521.1	B.1.526
MW976522.1	B.1.526
MW976525.1	B.1.526
MW976537.1	B.1.526
MW976540.1	B.1.526
MW976541.1	B.1.526
MW976543.1	B.1.526
MW976545.1	B.1.526
MW976548.1	B.1.526
MW976549.1	B.1.526
MW976550.1	B.1.526
MW976554.1	B.1.526
MW976558.1	B.1.526
MW976561.1	B.1.526
MW976563.1	B.1.526
MW976567.1	B.1.526
MW976570.1	B.1.526
MW976571.1	B.1.526
MW976573.1	B.1.526
MW976576.1	B.1.526
MW976579.1	B.1.526
MW976580.1	B.1.526
MW976583.1	B.1.526
MW976585.1	B.1.526
MW976586.1	B.1.526
MW976589.1	B.1.526
MW976590.1	B.1.526
MW976592.1	B.1.526
MW976593.1	B.1.526
MW976596.1	B.1.526
MW976598.1	B.1.526
MW976599.1	B.1.525
MW976601.1	B.1.526
MW976602.1	B.1.526
MW976604.1	B.1.526
MW976605.1	B.1.526
MW976608.1	B.1.526
MW976609.1	B.1.526
MW976611.1	B.1.526
MW976619.1	B.1.526
MW976622.1	B.1.526
MW976623.1	B.1.526
MW976624.1	B.1.526
MW976633.1	B.1.526
MW976634.1	B.1.526
MW976636.1	B.1.526
MW976637.1	B.1.526
MW976639.1	B.1.526
MW976640.1	B.1.526
MW976641.1	B.1.526
MW976643.1	B.1.526
MW976645.1	B.1.526
MW976649.1	B.1.526
MW976650.1	B.1.526
MW976652.1	B.1.526
MW976653.1	B.1.526
MW976655.1	B.1.526
MW976657.1	B.1.526
MW976658.1	B.1.526
MW976659.1	B.1.526
MW976662.1	B.1.526
MW976663.1	B.1.526
MW976667.1	B.1.526
MW976668.1	B.1.526
MW976669.1	B.1.526
MW976670.1	B.1.525
MW976671.1	B.1.526
MW976672.1	B.1.526
MW976674.1	B.1.526
MW976675.1	B.1.526
MW976676.1	B.1.526
MW976679.1	B.1.526
MW976680.1	B.1.526
MW976681.1	B.1.526
MW976682.1	B.1.526
MW976685.1	B.1.526
MW976687.1	B.1.526
MW976688.1	B.1.526
MW976690.1	B.1.526
MW976692.1	B.1.526
MW976693.1	B.1.526
MW976695.1	B.1.526
MW976696.1	B.1.526
MW976698.1	B.1.526
MW976700.1	B.1.526
MW976701.1	B.1.526
MW976703.1	B.1.526
MW976705.1	B.1.526
MW976706.1	B.1.526
MW976708.1	B.1.526
MW976709.1	B.1.526
MW976713.1	B.1.526
MW976714.1	B.1.526
MW976715.1	B.1.526
MW976716.1	B.1.526
MW976719.1	B.1.526
MW976720.1	B.1.526
MW976723.1	B.1.526
MW976724.1	B.1.526
MW976725.1	B.1.526
MW976726.1	B.1.526
MW976729.1	B.1.526
MW976730.1	B.1.526
MW976731.1	B.1.526
MW976732.1	B.1.526
MW976734.1	B.1.526
MW976735.1	B.1.526
MW976736.1	B.1.526
MW976737.1	B.1.526
MW976742.1	B.1.526
MW976743.1	B.1.526
MW976745.1	B.1.526
MW976749.1	B.1.526
MW976751.1	B.1.526
MW976753.1	B.1.526
MW976758.1	B.1.526
MW976761.1	B.1.526
MW976762.1	B.1.525
MW976765.1	B.1.526
MW976780.1	B.1.1.7
MW976781.1	B.1.1.7
MW976793.1	B.1.1.7
MW976794.1	B.1.1.7
MW976796.1	B.1.1.7
MW976801.1	B.1.1.7
MW976804.1	B.1.1.7
MW976805.1	B.1.1.7
MW976807.1	B.1.1.7
MW976808.1	B.1.1.7
MW976951.1	B.1.1.7
MW976953.1	B.1.1.7
MW976954.1	B.1.1.7
MW979400.1	B.1.1.7
MW979402.1	B.1.526
MW979403.1	B.1.526
MW979411.1	B.1.1.7
MW979415.1	B.1.1.7
MW979416.1	B.1.1.7
MW979417.1	B.1.1.7
MW979418.1	B.1.526
MW981373.1	B.1.1.7
MW981374.1	B.1.1.7
MW981375.1	B.1.1.7
MW981376.1	B.1.1.7
MW981377.1	B.1.1.7
MW981378.1	B.1.1.7
MW981379.1	B.1.1.7
MW981380.1	B.1.1.7
MW981381.1	B.1.1.7
MW981383.1	B.1.1.7
MW981384.1	B.1.1.7
MW981385.1	B.1.1.7
MW981386.1	B.1.1.7
MW981387.1	B.1.1.7
MW981388.1	B.1.1.7
MW981389.1	B.1.1.7
MW981390.1	B.1.1.7
MW981391.1	B.1.1.7
MW981392.1	B.1.1.7
MW981393.1	B.1.1.7
MW981394.1	B.1.1.7
MW981395.1	B.1.1.7
MW981396.1	B.1.1.7
MW981397.1	B.1.1.7
MW981398.1	B.1.1.7
MW981399.1	B.1.1.7
MW981400.1	B.1.1.7
MW981401.1	B.1.1.7
MW981402.1	B.1.1.7
MW981403.1	B.1.1.7
MW981404.1	B.1.1.7
MW981405.1	B.1.1.7
MW981406.1	B.1.1.7
MW981407.1	B.1.1.7
MW981408.1	B.1.1.7
MW981409.1	B.1.1.7
MW981410.1	B.1.1.7
MW981411.1	B.1.1.7
MW981442.1	B.1.351
MW984436.1	B.1.1.7
MW984437.1	B.1.1.7
MW984438.1	B.1.1.7
MW984439.1	B.1.1.7
MW984440.1	B.1.1.7
MW984441.1	B.1.1.7
MW984442.1	B.1.1.7
MW984443.1	B.1.1.7
MW984444.1	B.1.1.7
MW984445.1	B.1.1.7
MW984446.1	B.1.1.7
MW984447.1	B.1.1.7
MW984448.1	B.1.1.7
MW984449.1	B.1.1.7
MW984450.1	B.1.1.7
MW984451.1	B.1.1.7
MW984452.1	B.1.1.7
MW984453.1	B.1.1.7
MW984454.1	B.1.1.7
MW984455.1	B.1.1.7
MW984458.1	B.1.1.7
MW984459.1	B.1.1.7
MW984462.1	B.1.1.7
MW984463.1	B.1.1.7
MW984464.1	B.1.1.7
MW984465.1	B.1.1.7
MW984466.1	B.1.1.7
MW984467.1	B.1.1.7
MW984468.1	B.1.1.7
MW984469.1	B.1.1.7
MW984470.1	B.1.1.7
MW984471.1	B.1.1.7
MW984472.1	B.1.1.7
MW984473.1	B.1.1.7
MW984474.1	B.1.1.7
MW984475.1	B.1.1.7
MW984476.1	B.1.1.7
MW984478.1	B.1.1.7
MW984479.1	B.1.1.7
MW984480.1	B.1.1.7
MW984481.1	B.1.1.7
MW984482.1	B.1.1.7
MW984485.1	B.1.1.7
MW984489.1	B.1.1.7
MW984490.1	B.1.1.7
MW984491.1	B.1.1.7
MW984492.1	B.1.1.7
MW984493.1	B.1.1.7
MW984494.1	B.1.1.7
MW984495.1	B.1.1.7
MW984496.1	B.1.1.7
MW984497.1	B.1.1.7
MW984498.1	B.1.1.7
MW984499.1	B.1.1.7
MW984500.1	B.1.1.7
MW984501.1	B.1.1.7
MW984502.1	B.1.1.7
MW984503.1	B.1.1.7
MW984875.1	B.1.526
MW984892.1	B.1.526
MW984897.1	B.1.526
MW984933.1	B.1.526
MW985146.1	B.1.526
MW985203.1	B.1.526
MW985208.1	B.1.526
MW985210.1	B.1.526
MW985238.1	B.1.526
MW985383.1	B.1.526
MW985402.1	B.1.526
MW985453.1	B.1.526
MW985539.1	B.1.526
MW985558.1	B.1.526
MW985564.1	B.1.526
MW985571.1	B.1.526
MW985597.1	B.1.526
MW985674.1	B.1.526
MW985729.1	B.1.526
MW985751.1	B.1.526
MW985763.1	B.1.526
MW985804.1	B.1.427_B.1.429
MW985822.1	B.1.526
MW985848.1	B.1.526
MW985922.1	B.1.526
MW986038.1	B.1.526
MW986052.1	B.1.526
MW986085.1	B.1.526
MW986100.1	B.1.526
MW986120.1	B.1.526
MW986171.1	B.1.526
MW986195.1	B.1.526
MW986211.1	B.1.526
MW986259.1	B.1.526
MW986285.1	B.1.526
MW986290.1	B.1.526
MW986307.1	B.1.526
MW986310.1	B.1.526
MW986317.1	B.1.526
MW986357.1	B.1.526
MW986366.1	B.1.526
MW986367.1	B.1.526
MW986406.1	B.1.526
MW986422.1	B.1.526
MW986433.1	B.1.526
MW986450.1	B.1.526
MW986456.1	B.1.526
MW986463.1	B.1.526
MW986475.1	B.1.526
MW986492.1	B.1.526
MW986499.1	B.1.526
MW986505.1	B.1.526
MW986516.1	B.1.526
MW986525.1	B.1.526
MW986603.1	B.1.526
MW986636.1	B.1.526
MW986652.1	B.1.526
MW986655.1	B.1.526
MW986681.1	B.1.526
MW986688.1	B.1.526
MW986689.1	B.1.526
MW986696.1	B.1.526
MW986697.1	B.1.526
MW986706.1	B.1.526
MW986709.1	B.1.526
MW986746.1	B.1.526
MW986749.1	B.1.526
MW986767.1	B.1.526
MW986782.1	B.1.526
MW986805.1	B.1.526
MW986845.1	B.1.526
MW986848.1	B.1.526
MW986855.1	B.1.526
MW986858.1	B.1.526
MW986862.1	B.1.526
MW986890.1	B.1.526
MW986891.1	B.1.526
MW986897.1	B.1.526
MW986898.1	B.1.526
MW986916.1	B.1.526
MW986929.1	B.1.526
MW986955.1	B.1.526
MW986962.1	B.1.526
MW987022.1	B.1.526
MW987049.1	B.1.526
MW987067.1	B.1.526
MW987072.1	B.1.526
MW987097.1	B.1.526
MW987104.1	B.1.526
MW987154.1	B.1.526
MW987163.1	B.1.526
MW987169.1	B.1.526
MW987172.1	B.1.526
MW987175.1	B.1.526
MW987178.1	B.1.526
MW987187.1	B.1.526
MW987199.1	B.1.526
MW987208.1	B.1.526
MW987234.1	B.1.526
MW987262.1	B.1.526
MW987265.1	B.1.526
MW987273.1	B.1.526
MW987277.1	B.1.526
MW987279.1	B.1.526
MW987352.1	B.1.526
MW987358.1	B.1.526
MW987367.1	B.1.526
MW987368.1	B.1.526
MW987369.1	B.1.526
MW987374.1	B.1.526
MW987379.1	B.1.526
MW987380.1	B.1.526
MW987400.1	B.1.526
MW987401.1	B.1.526
MW987796.1	B.1.1.7
MW987799.1	P.1
MW987801.1	B.1.1.7
MW987807.1	B.1.1.7
MW987808.1	B.1.1.7
MW987809.1	B.1.1.7
MW987810.1	B.1.1.7
MW987812.1	B.1.1.7
MW987813.1	B.1.1.7
MW987831.1	B.1.526
MW987832.1	B.1.1.7
MW987834.1	B.1.526
MW987835.1	B.1.1.7
MW987836.1	B.1.1.7
MW987841.1	B.1.1.7
MW987843.1	B.1.1.7
MW987845.1	B.1.1.7
MW987848.1	B.1.1.7
MW987850.1	B.1.1.7
MW987851.1	B.1.1.7
MW987852.1	B.1.526
MW987853.1	B.1.427_B.1.429
MW987862.1	B.1.1.7
MW987863.1	B.1.1.7
MW987866.1	B.1.1.7
MW987868.1	B.1.1.7
MW987870.1	B.1.1.7
MW987872.1	B.1.1.7
MW987873.1	B.1.351
MW987874.1	B.1.1.7
MW987876.1	B.1.1.7
MW987877.1	B.1.1.7
MW987878.1	B.1.1.7
MW987879.1	B.1.1.7
MW987880.1	B.1.1.7
MW987881.1	B.1.1.7
MW987882.1	B.1.1.7
MW987884.1	B.1.1.7
MW987885.1	B.1.1.7
MW987887.1	B.1.1.7
MW987894.1	B.1.1.7
MW987902.1	B.1.1.7
MW987903.1	B.1.1.7
MW987904.1	B.1.1.7
MW987915.1	B.1.1.7
MW987917.1	B.1.1.7
MW987926.1	B.1.526
MW987930.1	B.1.526
MW987940.1	B.1.1.7
MW987946.1	B.1.1.7
MW987960.1	B.1.1.7
MW987967.1	P.1
MW987968.1	B.1.1.7
MW987969.1	B.1.1.7
MW987974.1	B.1.1.7
MW987976.1	B.1.1.7
MW987977.1	B.1.427_B.1.429
MW987978.1	B.1.1.7
MW987979.1	B.1.1.7
MW987980.1	B.1.1.7
MW987983.1	B.1.1.7
MW987988.1	B.1.427_B.1.429
MW987990.1	B.1.526
MW987991.1	B.1.526
MW987992.1	B.1.1.7
MW987993.1	B.1.526
MW987996.1	B.1.1.7
MW987997.1	B.1.1.7
MW988000.1	B.1.1.7
MW988002.1	P.1
MW988003.1	B.1.1.7
MW988008.1	B.1.526
MW988019.1	B.1.1.7
