accession	subtype
JN024378	B
JN024380	B
JN024382	B
JN024383	B
JN024384	B
JN024385	B
JN024389	B
JN024390	B
JN024391	B
JN024392	B
JN024393	B
JN024394	B
JN024395	B
JN024396	B
JN024397	B
JN024398	B
JN024400	B
JN024403	B
JN024404	B
JN024406	B
JN024407	B
JN024408	B
JN024409	B
JN024411	B
JN024412	B
JN024413	B
JN024414	B
JN024415	B
JN024418	B
JN024420	B
JN024421	B
JN024423	B
JN024424	B
JN024425	B
JN024426	B
JN024428	B
JN024429	B
JN024430	B
JN024431	B
JN024434	B
JN024435	B
JN024437	B
JN024439	B
JN024442	B
JN024443	B
JN024444	B
JN024449	B
JN024453	B
JN024457	B
JN024459	B
JN024460	B
JN024462	B
JN024467	B
JN024468	B
JN024469	B
JN024470	B
JN024472	B
JN024474	B
JN024475	B
JN024476	B
JN024478	B
JN024479	B
JN024481	B
JN024482	B
JN024483	B
JN024484	B
JN024485	B
JN024487	B
JN024488	B
JN024489	B
JN024490	B
JN024491	B
JN024493	B
JN024494	B
JN024495	B
JN024496	B
JN024497	B
JN024500	B
JN024501	B
JN024502	B
JN024504	B
JN024505	B
JN024506	B
JN024507	B
JN024508	B
JN024510	B
JN024512	B
JN024513	B
JN024514	B
JN024516	B
JN024517	B
JN024518	B
JN024519	B
JN024520	B
JN024521	B
JN024523	B
JN024524	B
JN024525	B
JN024527	B
JN024528	B
JN024530	B
JN024532	B
JN024533	B
JN024537	B
JN024538	B
JN024539	B
JN024540	B
JN024541	B
JN024542	B
JN024544	B
JN024545	B
JN024546	B
JN024548	B
JN024549	B
JN024550	B
JN024551	B
JN024552	B
JN024553	B
JN024555	B
JN024556	B
JN024557	B
JN024558	B
JN024559	B
JN024560	B
JN024562	B
JN024563	B
JN024568	B
JN024569	B
JN024570	B
JN024571	B
JN024572	B
JN024573	B
JN106043	G
JN188292	C
JN230353	63_02A6
JN235958	B
JN235959	B
JN248318	01_AE
JN248321	B
JN248327	01_AE
JN248328	01_AE
JN248329	B
JN248330	01_AE
JN248333	B
JN248334	01_AE
JN248335	B
JN248336	01_AE
JN248337	B
JN248338	01_AE
JN248341	01_AE
JN248342	01_AE
JN248343	B
JN248344	B
JN248345	B
JN248348	B
JN248353	B
JN248355	01_AE
JN248356	01_AE
JN251901	B
JN251906	B
JN860761	01_AE
JN860763	01_AE
JN860767	01_AE
JN860768	01_AE
JN860769	B
JN944897	B
JN944898	B
JN944900	B
JN944901	B
JN944903	B
JN944905	B
JN944909	B
JN944911	B
JN944912	B
JN944913	B
JN944914	B
JN944915	B
JN944917	B
JN944920	B
JN944921	B
JN944922	B
JN944923	B
JN944924	B
JN944925	B
JN944926	B
JN944928	B
JN944930	B
JN944932	B
JN944933	B
JN944934	B
JN944936	B
JN944938	B
JN944939	B
JN944941	B
JN944942	B
JN944943	B
JN944944	B
JN944945	B
JN944946	B
JN944947	B
JN944948	B
JQ292891	A6
JQ292892	A6
JQ292893	A6
JQ292894	A6
JQ292895	A6
JQ292896	A6
JQ292897	A6
JQ292898	A6
JQ292899	A6
JQ292900	A6
JQ316126	B
JQ316127	B
JQ316128	B
JQ316129	B
JQ316130	B
JQ316131	B
JQ316132	B
JQ316133	B
JQ316134	B
JQ316136	02_AG
JQ316137	02_AG
JQ316138	02_AG
JQ341411	B
JQ403019	B
JQ403021	B
JQ403022	B
JQ403023	B
JQ403024	B
JQ403025	B
JQ403026	B
JQ403029	B
JQ403030	B
JQ403031	B
JQ403032	B
JQ403033	B
JQ403034	B
JQ403035	B
JQ403036	B
JQ403037	B
JQ403038	B
JQ403039	B
JQ403040	B
JQ403042	B
JQ403045	B
JQ403049	B
JQ403050	B
JQ403051	B
JQ403052	B
JQ403053	B
JQ403054	B
JQ403055	B
JQ403056	B
JQ403059	B
JQ403060	B
JQ403062	B
JQ403064	B
JQ403066	B
JQ403067	B
JQ403068	B
JQ403069	B
JQ403070	B
JQ403071	B
JQ403074	B
JQ403078	B
JQ403079	D
JQ403082	B
JQ403083	B
JQ403085	B
JQ403086	B
JQ403087	B
JQ403088	B
JQ403089	B
JQ403091	B
JQ403092	B
JQ403093	B
JQ403094	B
JQ403095	B
JQ403096	B
JQ403097	B
JQ403099	B
JQ403100	B
JQ403101	B
JQ403102	B
JQ403104	B
JQ403105	B
JQ416158	B
JQ416159	B
JQ416160	B
JQ416161	B
JQ416162	B
JQ423923	07_BC
JQ429433	B
JX112798	01_AE
JX112799	01_AE
JX112800	01_AE
JX112801	01_AE
JX112803	01_AE
JX112804	01_AE
JX112805	01_AE
JX112806	01_AE
JX112807	01_AE
JX112810	01_AE
JX112811	01_AE
JX112814	01_AE
JX112815	01_AE
JX112816	01_AE
JX112817	01_AE
JX112820	01_AE
JX112821	01_AE
JX112822	01_AE
JX112823	01_AE
JX112824	01_AE
JX112825	01_AE
JX112826	01_AE
JX112827	01_AE
JX112828	01_AE
JX112829	01_AE
JX112830	01_AE
JX112831	01_AE
JX112834	01_AE
JX112835	01_AE
JX112836	01_AE
JX112837	01_AE
JX112839	01_AE
JX112841	01_AE
JX112842	01_AE
JX112844	01_AE
JX112845	01_AE
JX112846	01_AE
JX112847	01_AE
JX112848	01_AE
JX112849	01_AE
JX112850	01_AE
JX112852	01_AE
JX112853	01_AE
JX112854	01_AE
JX112855	01_AE
JX112856	01_AE
JX112857	01_AE
JX112858	01_AE
JX112859	01_AE
JX112860	01_AE
JX112861	01_AE
JX112862	01_AE
JX112863	01_AE
JX112864	01_AE
JX112865	01_AE
JX112867	01_AE
JX112868	01_AE
JX112869	01_AE
JX112870	01_AE
JX140651	A1
JX140652	B
JX140653	B
JX140654	B
JX140656	B
JX140657	B
JX140658	B
JX140662	C
JX140663	C
JX140664	C
JX140665	C
JX140666	C
JX140668	C
JX140669	C
JX140670	D
JX236669	A1
JX236670	D
JX236671	A1
JX236672	D
JX236673	D
JX236676	A1
JX236677	A1
JX236678	A1
JX236679	D
JX245014	O
JX245015	O
JX392378	07_BC
JX392379	07_BC
JX392380	07_BC
JX392381	07_BC
JX392382	07_BC
JX392383	07_BC
JX392384	07_BC
JX446710	01_AE
JX446711	01_AE
JX446712	01_AE
JX446714	01_AE
JX446716	01_AE
JX446717	01_AE
JX446718	01_AE
JX446736	01_AE
JX446755	01_AE
JX446756	01_AE
JX446757	01_AE
JX446758	01_AE
JX446759	01_AE
JX446760	01_AE
JX446761	01_AE
JX446763	01_AE
JX446764	01_AE
JX446795	B
JX446796	B
JX446797	B
JX446798	B
JX446799	B
JX446800	B
JX446801	B
JX446806	B
JX446848	01_AE
JX446849	01_AE
JX446850	01_AE
JX446851	01_AE
JX446852	01_AE
JX446853	01_AE
JX446854	01_AE
JX446855	01_AE
JX446856	01_AE
JX446877	01_AE
JX446899	01_AE
JX446902	01_AE
JX446903	01_AE
JX446916	01_AE
JX446919	01_AE
JX446922	01_AE
JX446926	01_AE
JX446987	01_AE
JX446988	01_AE
JX446990	01_AE
JX446991	01_AE
JX446992	01_AE
JX446993	01_AE
JX446994	01_AE
JX446995	01_AE
JX446996	01_AE
JX447020	01_AE
JX447021	01_AE
JX447022	01_AE
JX447024	01_AE
JX447025	01_AE
JX447027	01_AE
JX447028	01_AE
JX447029	01_AE
JX447030	01_AE
JX447031	01_AE
JX447054	01_AE
JX447055	01_AE
JX447056	01_AE
JX447057	01_AE
JX447059	01_AE
JX447060	01_AE
JX447061	01_AE
JX447062	01_AE
JX447063	01_AE
JX447064	01_AE
JX447065	01_AE
JX447066	01_AE
JX447072	01_AE
JX447073	01_AE
JX447074	01_AE
JX447075	01_AE
JX447076	01_AE
JX447077	01_AE
JX447078	01_AE
JX447079	01_AE
JX447080	01_AE
JX447081	01_AE
JX447082	01_AE
JX447083	01_AE
JX447084	01_AE
JX447085	01_AE
JX447086	01_AE
JX447089	01_AE
JX447090	01_AE
JX447093	01_AE
JX447122	01_AE
JX447123	01_AE
JX447124	01_AE
JX447125	01_AE
JX447126	01_AE
JX447127	01_AE
JX447128	01_AE
JX447129	01_AE
JX447130	01_AE
JX447133	01_AE
JX447134	01_AE
JX447135	01_AE
JX447137	01_AE
JX447156	B
JX447157	B
JX447158	B
JX447159	B
JX447160	B
JX447162	B
JX447163	B
JX447164	B
JX447165	B
JX447268	01_AE
JX447283	01_AE
JX447284	01_AE
JX447300	01_AE
JX447301	01_AE
JX447303	01_AE
JX447304	01_AE
JX447305	01_AE
JX447306	01_AE
JX447307	01_AE
JX447309	01_AE
JX447313	01_AE
JX447314	01_AE
JX447315	01_AE
JX447316	01_AE
JX447317	01_AE
JX447351	01_AE
JX447352	01_AE
JX447353	01_AE
JX447354	01_AE
JX447356	01_AE
JX447357	01_AE
JX447358	01_AE
JX447359	01_AE
JX447360	01_AE
JX447361	01_AE
JX447362	01_AE
JX447363	01_AE
JX447366	01_AE
JX447368	01_AE
JX447403	01_AE
JX447406	01_AE
JX447407	01_AE
JX447408	01_AE
JX447409	01_AE
JX447410	01_AE
JX447411	01_AE
JX447413	01_AE
JX447414	01_AE
JX447416	01_AE
JX447454	01_AE
JX447455	01_AE
JX447456	01_AE
JX447458	01_AE
JX447459	01_AE
JX447460	01_AE
JX447461	01_AE
JX447463	01_AE
JX447465	01_AE
JX447466	01_AE
JX447467	01_AE
JX447468	01_AE
JX447470	01_AE
JX447471	01_AE
JX447472	01_AE
JX447499	01_AE
JX447500	01_AE
JX447501	01_AE
JX447502	01_AE
JX447503	01_AE
JX447504	01_AE
JX447505	01_AE
JX447506	01_AE
JX447507	01_AE
JX447508	01_AE
JX447535	01_AE
JX447538	01_AE
JX447539	01_AE
JX447540	01_AE
JX447541	01_AE
JX447542	01_AE
JX447543	01_AE
JX447544	01_AE
JX447590	01_AE
JX447591	01_AE
JX447593	01_AE
JX447594	01_AE
JX447595	01_AE
JX447618	01_AE
JX447619	01_AE
JX447620	01_AE
JX447638	01_AE
JX447640	01_AE
JX447642	01_AE
JX447643	01_AE
JX447644	01_AE
JX447645	01_AE
JX447678	01_AE
JX447679	01_AE
JX447681	01_AE
JX447682	01_AE
JX447683	01_AE
JX447684	01_AE
JX447685	01_AE
JX447686	01_AE
JX447687	01_AE
JX447709	01_AE
JX447710	01_AE
JX447711	01_AE
JX447712	01_AE
JX447713	01_AE
JX447714	01_AE
JX447715	01_AE
JX447716	01_AE
JX447718	01_AE
JX447719	01_AE
JX447720	01_AE
JX447721	01_AE
JX447722	01_AE
JX447723	01_AE
JX447724	01_AE
JX447725	01_AE
JX447726	01_AE
JX447727	01_AE
JX447729	01_AE
JX447730	01_AE
JX447732	01_AE
JX447733	01_AE
JX447734	01_AE
JX447735	01_AE
JX447884	01_AE
JX447885	01_AE
JX447886	01_AE
JX447887	01_AE
JX447888	01_AE
JX447890	01_AE
JX447936	01_AE
JX448019	01_AE
JX448020	01_AE
JX448021	01_AE
JX448023	01_AE
JX448024	01_AE
JX448026	01_AE
JX448027	01_AE
JX448030	01_AE
JX448031	01_AE
JX448057	01_AE
JX448058	01_AE
JX448059	01_AE
JX448060	01_AE
JX448063	01_AE
JX448064	01_AE
JX448065	01_AE
JX500694	A6
JX500695	A6
JX500696	A6
JX500698	63_02A6
JX500699	63_02A6
JX500700	63_02A6
JX500701	63_02A6
JX500702	63_02A6
JX500704	63_02A6
JX500705	63_02A6
JX500707	B
JX500708	B
JX500709	B
JX863919	B
JX863920	01_AE
JX863921	B
JX863922	B
JX863923	B
JX974235	B
JX974236	B
JX974237	B
JX974238	B
JX974239	B
JX974240	B
JX974242	B
JX974243	B
JX974244	C
JX974245	C
JX974246	C
JX976632	C
JX976634	C
JX976642	C
JX976646	C
JX976650	C
JX976651	C
JX976652	C
JX976659	C
JX976661	C
JX976662	C
JX976663	C
JX976664	C
JX976665	C
JX976666	C
JX976667	C
JX976668	C
JX976669	C
JX976670	C
JX976671	C
JX976672	C
JX976674	C
JX976675	C
JX976677	C
JX976678	C
JX976681	C
JX976684	C
JX976685	C
JX976686	C
JX976688	C
JX976691	C
JX976692	C
JX976693	C
JX976707	C
JX976708	C
JX976709	C
JX976710	C
JX976711	C
JX976712	C
JX976713	C
JX976715	C
JX976716	C
JX976718	C
JX976719	C
JX976720	C
JX976729	C
JX976730	C
KC113005	B
KC156114	C
KC156115	C
KC156116	C
KC156117	C
KC156118	C
KC156119	C
KC156120	C
KC156121	C
KC156122	C
KC156123	C
KC156124	C
KC156125	C
KC156126	C
KC156127	C
KC156128	C
KC156129	C
KC156130	C
KC156210	C
KC156211	C
KC156212	C
KC156213	C
KC156214	C
KC156215	C
KC156218	C
KC156219	C
KC156220	C
KC156221	C
KC473824	B
KC473825	B
KC473826	B
KC473827	B
KC473829	B
KC473830	B
KC473832	B
KC473833	B
KC473834	B
KC473835	B
KC473842	B
KC473843	B
KC492737	07_BC
KC492738	07_BC
KC503852	07_BC
KC503853	07_BC
KC503854	07_BC
KC503855	07_BC
KC596061	01_AE
KC596062	01_AE
KC596063	01_AE
KC596065	01_AE
KC596066	B
KC596069	B
KC596072	D
KC797171	B
KC797172	B
KC797173	B
KC797174	B
KC797177	B
KC797215	B
KC797216	B
KC797218	B
KC797221	B
KC797222	B
KC797223	B
KC797225	B
KC797227	B
KC797228	B
KC797229	B
KC870029	01_AE
KC870039	01_AE
KC870041	01_AE
KC898980	08_BC
KC898995	C
KC898996	C
KC899011	B
KC914396	08_BC
KF234628	07_BC
KF250369	08_BC
KF250382	08_BC
KF250403	C
KF250404	C
KF312642	08_BC
KF384798	B
KF384799	B
KF384800	B
KF384801	B
KF384802	B
KF384803	B
KF384804	B
KF384805	B
KF384806	B
KF384807	B
KF384808	B
KF384809	B
KF384810	B
KF384811	B
KF384812	B
KF384813	B
KF384814	B
KF526122	B
KF526123	B
KF526141	B
KF526145	B
KF526175	B
KF526176	B
KF526177	B
KF526178	B
KF526179	B
KF526181	B
KF526192	B
KF526201	B
KF526202	B
KF526203	B
KF526204	B
KF526209	C
KF526210	C
KF526212	C
KF526213	C
KF526214	C
KF526216	C
KF526218	C
KF526225	C
KF526227	C
KF526228	B
KF526236	B
KF526245	B
KF526261	B
KF526265	B
KF526270	B
KF526276	B
KF526279	B
KF526280	B
KF526287	B
KF526298	B
KF526312	B
KF526318	B
KF526323	B
KF527172	C
KF527173	C
KF561435	02_AG
KF561436	02_AG
KF561437	02_AG
KF561438	02_AG
KF561439	02_AG
KF561440	B
KF561442	B
KF561443	B
KF716466	C
KF716467	C
KF716472	A1
KF716474	A1
KF716475	A1
KF716476	D
KF716477	G
KF716478	A1
KF716479	D
KF716480	D
KF716486	A1
KF716488	02_AG
KF716491	A6
KF716494	B
KF716495	B
KF716496	B
KF716497	B
KF716498	B
KF716499	A1
KF716500	A1
KF716501	D
KF716502	D
KF716503	D
KF766537	C
KF766538	C
KF766539	C
KF766540	C
KF766541	C
KF766542	C
KF835493	08_BC
KF835494	07_BC
KF835495	08_BC
KF835496	08_BC
KF835497	08_BC
KF835499	01_AE
KF835500	08_BC
KF835501	08_BC
KF835502	01_AE
KF835503	01_AE
KF835504	01_AE
KF835505	01_AE
KF835506	08_BC
KF835507	08_BC
KF835508	08_BC
KF835509	08_BC
KF835510	07_BC
KF835511	07_BC
KF835512	08_BC
KF835513	01_AE
KF835515	C
KF835516	01_AE
KF835518	01_AE
KF835519	01_AE
KF835522	C
KF835523	01_AE
KF835527	01_AE
KF835528	01_AE
KF835529	08_BC
KF835530	08_BC
KF835531	08_BC
KF835532	07_BC
KF835533	01_AE
KF835534	08_BC
KF835535	08_BC
KF835536	01_AE
KF835538	01_AE
KF835541	08_BC
KF835542	01_AE
KF835543	01_AE
KF835545	08_BC
KF835547	08_BC
KF859739	02_AG
KF859742	O
KF859743	O
KF859744	O
KF859745	A1
KF990605	B
KF990606	B
KF990607	B
KF990608	B
KJ019215	B
KJ140245	B
KJ140247	B
KJ140248	B
KJ140250	B
KJ140252	B
KJ140253	B
KJ140254	B
KJ140255	B
KJ140256	B
KJ140257	B
KJ140258	B
KJ140259	B
KJ140260	B
KJ140261	B
KJ140262	B
KJ140264	B
KJ140265	B
KJ140267	B
KJ190253	A1
KJ190254	A1
KJ190256	A1
KJ190257	A1
KJ190258	A1
KJ190259	A1
KJ190260	A1
KJ190261	A1
KJ190262	A1
KJ190263	A1
KJ190264	A1
KJ190265	A1
KJ190266	A1
KJ190267	A1
KJ190268	A1
KJ190269	A1
KJ190270	A1
KJ190271	A1
KJ190273	A1
KJ190274	A1
KJ197200	63_02A6
KJ197201	63_02A6
KJ197202	63_02A6
KJ704789	B
KJ704790	B
KJ704791	B
KJ704792	B
KJ704793	B
KJ704794	B
KJ769147	B
KJ787683	D
KJ787684	D
KJ849767	B
KJ849780	B
KJ849782	F1
KJ849784	B
KJ849785	B
KJ849786	B
KJ849790	B
KJ849791	F1
KJ849796	B
KJ849799	B
KJ849801	B
KJ849803	B
KJ849804	B
KJ849805	B
KJ849807	B
KJ849808	B
KJ849811	B
KJ849812	B
KJ849814	B
KJ849815	B
KJ849817	B
KJ849818	B
KJ849820	B
KJ883137	F1
KJ883138	F1
KJ883139	F1
KJ883140	F1
KJ883141	F1
KJ883142	F1
KJ883143	F1
KJ883144	F1
KJ883145	F1
KJ883146	F1
KJ883148	F1
KJ883149	F1
KJ883150	F1
KJ883151	F1
KJ883152	F1
KJ925006	B
KJ948656	B
KJ948657	B
KJ948658	A1
KJ948660	B
KJ948662	G
KP109480	C
KP109481	C
KP109482	C
KP109483	C
KP109484	C
KP109485	C
KP109486	C
KP109487	C
KP109488	C
KP109489	C
KP109490	A1
KP109495	C
KP109496	C
KP109501	D
KP109502	G
KP109504	01_AE
KP109505	01_AE
KP109506	01_AE
KP109507	01_AE
KP109508	01_AE
KP109511	B
KP109512	B
KP109513	01_AE
KP109514	B
KP109515	B
KP109516	C
KP109517	C
KP109518	B
KP109520	C
KP109521	C
KP109522	C
KP109523	C
KP109524	C
KP109525	C
KP109526	C
KP109527	C
KP109528	A1
KP223729	A1
KP223730	A1
KP223731	A1
KP223732	A1
KP223733	A1
KP223735	A1
KP223736	A1
KP223737	A1
KP223738	A1
KP223741	A1
KP223742	A1
KP223743	A1
KP223744	A1
KP223745	A1
KP223746	A1
KP223747	A1
KP223748	A1
KP223749	A1
KP223750	A1
KP223751	A1
KP223752	A1
KP223753	A1
KP223755	A1
KP223756	A1
KP223757	A1
KP223758	A1
KP223759	A1
KP223760	A1
KP223761	A1
KP223762	A1
KP223763	A1
KP223765	A1
KP223766	A1
KP223767	A1
KP223768	A1
KP223769	A1
KP223770	A1
KP223771	A1
KP223772	A1
KP223773	A1
KP223774	A1
KP223775	A1
KP223799	A1
KP223835	A1
KP223836	A1
KP223837	A1
KP223838	A1
KP223839	A1
KP223840	A1
KP223841	A1
KP223842	A1
KP223844	A1
KP223846	A1
KP223848	A1
KP223849	A1
KP223850	A1
KP223851	A1
KP223852	A1
KP223853	A1
KP223854	A1
KP411822	B
KP411823	B
KP411824	B
KP411825	B
KP411827	B
KP411828	B
KP411830	C
KP411832	C
KP411833	C
KP411834	C
KP411835	C
KP411837	C
KP411840	01_AE
KP411841	01_AE
KP411842	01_AE
KP411843	02_AG
KP411845	02_AG
KP718915	G
KP718918	A1
KP718923	G
KP718925	G
KP718928	A1
KP718930	01_AE
KP860667	01_AE
KP860668	01_AE
KP860669	01_AE
KP873161	01_AE
KP873162	01_AE
KP873163	01_AE
KP873164	01_AE
KR820294	C
KR820295	C
KR820296	C
KR820297	C
KR820298	C
KR820299	C
KR820302	C
KR820303	C
KR820304	C
KR820306	C
KR820307	C
KR820308	C
KR820309	C
KR820310	C
KR820311	C
KR820312	C
KR820314	C
KR820316	C
KR820317	C
KR820321	C
KR820323	C
KR820324	C
KR820325	C
KR820326	C
KR820327	C
KR820328	C
KR820330	C
KR820331	C
KR820332	C
KR820333	C
KR820334	C
KR820335	C
KR820336	C
KR820337	C
KR820338	C
KR820339	C
KR820340	C
KR820341	C
KR820342	C
KR820344	C
KR820345	C
KR820346	C
KR820347	C
KR820349	C
KR820350	C
KR820351	C
KR820353	C
KR820354	C
KR820355	C
KR820357	C
KR820358	C
KR820359	C
KR820361	C
KR820362	C
KR820363	C
KR820364	C
KR820365	C
KR820366	C
KR820367	C
KR820369	C
KR820370	C
KR820371	C
KR820372	C
KR820373	C
KR820374	C
KR820375	C
KR820376	C
KR820377	C
KR820378	C
KR820381	C
KR820382	C
KR820383	C
KR820384	C
KR820385	C
KR820386	C
KR820387	C
KR820389	C
KR820391	C
KR820392	C
KR820393	C
KR820394	C
KR820395	C
KR820396	C
KR820398	C
KR820399	C
KR820400	C
KR820401	C
KR820402	C
KR820403	C
KR820404	C
KR820405	C
KR820406	C
KR820407	C
KR820408	C
KR820409	C
KR820410	C
KR820411	C
KR820412	C
KR820413	C
KR820414	C
KR820415	C
KR820416	C
KR820417	C
KR820418	C
KR820419	C
KR820420	C
KR820421	C
KR820422	C
KR820423	C
KR820425	C
KR820426	C
KR820427	C
KR820428	C
KR820429	C
KR820430	C
KR820432	C
KR820433	C
KR820434	C
KR820435	C
KR820436	C
KR820437	C
KR820439	C
KR820440	C
KR820441	C
KR820442	C
KR820443	C
KR820444	C
KR820449	C
KR914676	B
KR914678	B
KT022360	A1
KT022361	A1
KT022362	C
KT022363	A1
KT022364	A1
KT022365	A1
KT022366	C
KT022367	A1
KT022368	A1
KT022369	A1
KT022370	A1
KT022371	C
KT022372	A1
KT022373	A1
KT022374	A1
KT022375	A1
KT022376	A1
KT022377	A1
KT022378	A1
KT022380	A1
KT022381	A1
KT022382	A1
KT022383	A1
KT022384	A1
KT124741	B
KT124742	B
KT124743	B
KT124744	B
KT124745	B
KT124747	B
KT124748	B
KT124749	B
KT124750	B
KT124751	B
KT124752	B
KT124753	B
KT124754	B
KT124755	B
KT124756	B
KT124757	B
KT124758	B
KT124759	B
KT124760	B
KT124761	B
KT124762	B
KT124763	B
KT124764	B
KT124765	B
KT124766	B
KT124767	B
KT124768	B
KT124769	B
KT124770	B
KT124771	B
KT124772	B
KT124773	B
KT124774	B
KT124775	B
KT124776	B
KT124778	B
KT124779	B
KT124780	B
KT124781	B
KT124782	B
KT124783	B
KT124784	B
KT124785	B
KT124786	C
KT124787	B
KT124788	B
KT124789	B
KT124790	B
KT124791	B
KT124792	02_AG
KT124793	B
KT124794	B
KT124796	B
KT124797	B
KT124798	B
KT124799	B
KT124800	B
KT124801	B
KT124802	B
KT124804	B
KT124805	B
KT124806	B
KT124807	B
KT124808	B
KT124809	B
KT124810	B
KT124811	B
KT124812	B
KT124813	B
KT124814	B
KT152839	A1
KT152840	A1
KT152841	A1
KT152843	A1
KT152844	A1
KT152845	A1
KT152846	A1
KT152847	A1
KT183053	C
KT183054	C
KT183055	C
KT183056	C
KT183057	C
KT183058	C
KT183059	C
KT183061	C
KT183062	C
KT183064	C
KT183065	C
KT183066	C
KT183068	C
KT183069	C
KT183070	C
KT183071	C
KT183078	C
KT183079	C
KT183080	C
KT183082	C
KT183085	C
KT183086	C
KT183088	C
KT183091	C
KT183092	C
KT183093	C
KT183094	C
KT183095	C
KT183096	C
KT183097	C
KT183098	C
KT183099	C
KT183100	C
KT183101	C
KT183102	C
KT183103	C
KT183105	C
KT183106	C
KT183107	C
KT183125	C
KT183126	C
KT183127	C
KT183128	C
KT183129	C
KT183130	C
KT183131	C
KT183132	C
KT183133	C
KT183134	C
KT183135	C
KT183136	C
KT183137	C
KT183138	C
KT183141	C
KT183142	C
KT183143	C
KT183144	C
KT183148	C
KT183150	C
KT183151	C
KT183152	C
KT183153	C
KT183155	C
KT183156	C
KT183157	C
KT183158	C
KT183159	C
KT183160	C
KT183161	C
KT183163	C
KT183164	C
KT183165	C
KT183168	C
KT183170	C
KT183172	C
KT183173	C
KT183176	C
KT183177	C
KT183179	C
KT183182	C
KT183184	C
KT183185	C
KT183186	C
KT183187	C
KT183188	C
KT183190	C
KT183191	C
KT183196	C
KT183198	C
KT183199	C
KT183200	C
KT183202	C
KT183203	C
KT183205	C
KT183206	C
KT183211	C
KT183214	C
KT183218	C
KT183219	C
KT183220	C
KT183221	C
KT183223	C
KT183224	C
KT183225	C
KT183226	C
KT183229	C
KT183230	C
KT183231	C
KT183234	C
KT183235	C
KT183236	C
KT183237	C
KT183238	C
KT183239	C
KT183240	C
KT183242	C
KT183244	C
KT183245	C
KT183246	C
KT183248	C
KT183250	C
KT183253	C
KT183255	C
KT183256	C
KT183257	C
KT183258	C
KT183259	C
KT183260	C
KT183262	C
KT183263	C
KT183270	C
KT183271	C
KT183272	C
KT183274	C
KT183275	C
KT183276	C
KT183278	C
KT183279	C
KT183280	C
KT183281	C
KT183282	C
KT183283	C
KT183284	C
KT183286	C
KT183287	C
KT183288	C
KT183289	C
KT183292	C
KT183295	C
KT183296	C
KT183297	C
KT183298	C
KT183299	C
KT183300	C
KT183301	C
KT183302	C
KT183303	C
KT183304	C
KT183305	C
KT183307	C
KT183308	C
KT183309	C
KT183310	C
KT183312	A1
KT183313	A1
KT183314	A1
KT183315	A1
KT183336	C
KT183340	C
KT183341	C
KT200348	B
KT200349	B
KT200350	B
KT200352	B
KT200353	B
KT200354	B
KT200355	B
KT200356	B
KT200357	B
KT259308	B
KT259309	B
KT259310	B
KT259311	B
KT259312	B
KT259313	B
KT259314	B
KT259315	B
KT259316	B
KT259317	B
KT259318	B
KT259319	B
KT276255	B
KT276256	B
KT276257	F1
KT276258	C
KT276260	F1
KT276261	G
KT276262	B
KT276263	B
KT276264	B
KT276266	B
KT276267	B
KT276268	B
KT276270	20_BG
KT284371	B
KT284372	B
KT284373	B
KT284374	B
KT284375	B
KT284376	B
KT284377	B
KT284378	B
KT983615	A6
KU168256	A1
KU168257	B
KU168258	B
KU168259	B
KU168260	B
KU168261	B
KU168262	C
KU168264	01_AE
KU168265	02_AG
KU168267	02_AG
KU168271	D
KU168272	D
KU168274	F1
KU168275	F1
KU168276	F1
KU168277	G
KU168278	G
KU168281	O
KU168282	O
KU168283	O
KU168284	O
KU168285	O
KU168286	O
KU168288	O
KU168289	O
KU168290	O
KU168291	O
KU168292	O
KU168293	O
KU168294	O
KU168295	O
KU168296	O
KU168297	O
KU168298	O
KU168300	G
KU168302	G
KU168304	02_AG
KU168305	A1
KU168308	C
KU168309	01_AE
KU168310	02_AG
KU319528	C
KU319530	C
KU319533	C
KU319534	C
KU319537	C
KU319538	C
KU319539	C
KU319540	C
KU319541	C
KU319542	C
KU319544	C
KU319545	C
KU319547	C
KU319548	C
KU319549	C
KU319550	C
KU341723	C
KU341724	C
KU341725	C
KU341726	C
KU341728	C
KU341730	C
KU341731	C
KU641402	B
KU685583	B
KU685584	B
KU685585	B
KU685586	B
KU685588	B
KU685589	B
KU685590	B
KU685591	B
KU685592	G
KU724103	B
KU724105	B
KU749387	B
KU749389	B
KU749390	B
KU749391	C
KU749392	C
KU749393	C
KU749394	D
KU749395	F1
KU749396	F1
KU749399	A6
KU749400	A6
KU749401	A6
KU749403	A6
KU749404	A6
KU749405	A6
KU749407	A6
KU749409	A1
KU749410	A1
KU749411	A1
KU749412	C
KU749415	C
KU749416	C
KU749417	C
KU749419	02_AG
KU749423	A1
KU749424	A1
KU749425	C
KU749426	C
KU869610	B
KU901976	B
KU901996	B
KU901997	B
KU901998	B
KU992928	85_BC
KU992929	85_BC
KU992930	85_BC
KU992931	85_BC
KU992932	85_BC
KU992934	85_BC
KU992935	85_BC
KU992936	85_BC
KU992937	85_BC
KX069219	C
KX069220	C
KX069221	C
KX069222	C
KX069223	C
KX069224	C
KX069225	C
KX069226	C
KX069227	C
KX069228	C
KX228799	C
KX228800	01_AE
KX228801	G
KX228802	B
KX228803	B
KX228805	B
KX228806	B
KX228807	B
KX228810	A1
KX228812	G
KX228814	02_AG
KX228815	A1
KX228818	C
KX228820	C
KX228821	C
KX228823	02_AG
